spell_id,spell_name,important,big_defensive,external,ignore
118,"Polymorph",1,0,0,
51533,"Feral Spirit",1,0,0,
79140,"Vendetta",1,0,0,
132578,"Invoke Niuzao, the Black Ox",1,0,0,
152953,"Blinding Light",1,0,0,
192249,"Storm Elemental",1,0,0,
198067,"Fire Elemental",1,0,0,
204021,"Fiery Brand",1,0,0,
207771,"Fiery Brand",0,1,0,
228260,"Voidform",1,0,0,
248831,"Dread Screech",1,0,0,
275699,"Apocalypse",1,0,0,
323538,"Anima Bolt",1,0,0,
326450,"Loyal Beasts",1,0,0,
335235,"Summon Infernal",1,0,0,
350101,"Chains of Damnation",1,0,0,
350922,"Menacing Shout",1,0,0,
351119,"Shuriken Blitz",1,0,0,
355057,"Cry of Mrrggllrrgg",1,0,0,
356407,"Ancient Dread",1,0,0,
357260,"Unstable Rift",1,0,0,
357404,"Dischordant Song",1,0,0,
358131,"Lightning Nova",1,0,0,
359844,"Call of the Wild",1,0,0,
360194,"Deathmark",1,0,0,
360952,"Coordinated Assault",1,0,0,
365350,"Arcane Surge",1,0,0,
367679,"Summon Blasphemy",1,0,0,
383410,"Celestial Alignment",1,0,0,
387278,"Summon Darkglare",1,0,0,
388392,"Monotonous Lecture",1,0,0,
388862,"Surge",1,0,0,
390414,"Incarnation: Chosen of Elune",1,0,0,
423051,"Burning Light",1,0,0,
424419,"Battle Cry",1,0,0,
424773,"Sporogenesis",1,0,0,
433841,"Venom Volley",1,0,0,
434802,"Horrifying Shrill",1,0,0,
442210,"Silken Restraints",1,0,0,
444743,"Fireball Volley",1,0,0,
446657,"Burning Light",1,0,0,
448248,"Revolting Volley",1,0,0,
449734,"Acidic Eruption",1,0,0,
451026,"Darkness Comes",1,0,0,
452099,"Congealed Darkness",1,0,0,
461796,"Reload",1,0,0,
468966,"Polymorph",1,0,0,
