spell_id,spell_name,important,big_defensive,external
498,"Divine Protection",1,0,0,
403876,"Divine Protection",1,0,0,
642,"Divine Shield",1,0,0,
1022,"Blessing of Protection",0,0,1,
1044,"Blessing of Freedom",1,0,0,
305395,"Blessing of Freedom",1,0,0,
6940,"Blessing of Sacrifice",0,1,1,
31850,"Ardent Defender",1,1,0,
86659,"Guardian of Ancient Kings",0,1,0,
204018,"Blessing of Spellwarding",1,0,1,
31884,"Avenging Wrath",1,0,0,
216331,"Avenging Crusader",1,0,0,
231895,"Avenging Wrath",1,0,0,
389539,"Sentinel",1,0,0,
454351,"Avenging Wrath",1,0,0,
454373,"Avenging Wrath",1,0,0,
