spell_id,spell_name,important,big_defensive,external
118,"Polymorph",1,0,0,
498,"Divine Protection",1,0,0,
642,"Divine Shield",1,0,0,
871,"Shield Wall",1,1,0,
1022,"Blessing of Protection",0,0,1,
1044,"Blessing of Freedom",1,0,0,
5277,"Evasion",1,0,0,
6940,"Blessing of Sacrifice",0,1,1,
8178,"Grounding Totem",1,0,0,
12472,"Icy Veins",1,0,0,
13750,"Adrenaline Rush",1,0,0,
19236,"Desperate Prayer",1,1,0,
22812,"Barkskin",1,1,0,
31224,"Cloak of Shadows",0,1,0,
31850,"Ardent Defender",1,1,0,
31884,"Avenging Wrath",1,0,0,
33206,"Pain Suppression",0,1,1,
45438,"Ice Block",1,1,0,
47788,"Guardian Spirit",0,0,1,
48707,"Anti-Magic Shell",1,1,0,
48792,"Icebound Fortitude",1,1,0,
49028,"Dancing Rune Weapon",1,0,0,
50322,"Survival Instincts",0,1,0,
50334,"Berserk",1,0,0,
51271,"Pillar of Frost",1,0,0,
51533,"Feral Spirit",1,0,0,
53480,"Roar of Sacrifice",0,1,1,
55233,"Vampiric Blood",1,1,0,
55342,"Mirror Image",1,0,0,
64843,"Divine Hymn",1,0,0,
79140,"Vendetta",1,0,0,
81549,"Cloak of Shadows",0,1,0,
86659,"Guardian of Ancient Kings",0,1,0,
102342,"Ironbark",0,1,1,
102543,"Incarnation: Avatar of Ashamane",1,0,0,
102558,"Incarnation: Guardian of Ursoc",1,0,0,
102560,"Incarnation: Chosen of Elune",1,0,0,
104773,"Unending Resolve",1,1,0,
106951,"Berserk",1,0,0,
107574,"Avatar",1,0,0,
108271,"Astral Shift",1,1,0,
108280,"Healing Tide Totem",1,0,0,
109304,"Exhilaration",1,0,0,
110909,"Alter Time",1,0,0,
115203,"Fortifying Brew",1,1,0,
115310,"Revival",1,0,0,
116849,"Life Cocoon",0,0,1,
118038,"Die by the Sword",1,1,0,
121471,"Shadow Blades",1,0,0,
132578,"Invoke Niuzao, the Black Ox",1,0,0,
134536,"Slippy",1,0,0,
134789,"Fallen Kin",1,0,0,
137639,"Storm, Earth, and Fire",1,0,0,
141396,"Intensifying Assault",1,0,0,
141401,"Precision Artillery",1,0,0,
141558,"Mecha Armor Alpha",1,0,0,
142756,"Mecha-Armor: Beta",1,0,0,
142777,"Mecha-Armor: Gamma",1,0,0,
142778,"Mecha-Armor: Delta",1,0,0,
142779,"Mecha-Armor: Epsilon",1,0,0,
142780,"Mecha-Armor: Omega",1,0,0,
142795,"Better, Stronger, Faster",1,0,0,
152953,"Blinding Light",1,0,0,
184364,"Enraged Regeneration",1,0,0,
185422,"Shadow Dance",1,0,0,
187827,"Metamorphosis",1,0,0,
190319,"Combustion",1,0,0,
191427,"Metamorphosis",1,0,0,
192249,"Storm Elemental",1,0,0,
194223,"Celestial Alignment",1,0,0,
194249,"Voidform",1,0,0,
198067,"Fire Elemental",1,0,0,
198144,"Ice Form",1,0,0,
198589,"Blur",1,0,0,
204018,"Blessing of Spellwarding",1,0,1,
204021,"Fiery Brand",1,0,0,
205180,"Summon Darkglare",1,0,0,
207771,"Fiery Brand",0,1,0,
212295,"Nether Ward",1,0,0,
212800,"Blur",1,1,0,
216331,"Avenging Crusader",1,0,0,
228260,"Voidform",1,0,0,
231895,"Avenging Wrath",1,0,0,
243435,"Fortifying Brew",1,0,0,
248831,"Dread Screech",1,0,0,
264735,"Survival of the Fittest",1,1,0,
265187,"Summon Demonic Tyrant",1,0,0,
266779,"Coordinated Assault",1,0,0,
275699,"Apocalypse",1,0,0,
288613,"Trueshot",1,0,0,
297850,"Revival",1,0,0,
305395,"Blessing of Freedom",1,0,0,
323538,"Anima Bolt",1,0,0,
326450,"Loyal Beasts",1,0,0,
335235,"Summon Infernal",1,0,0,
342245,"Alter Time",0,1,0,
342246,"Alter Time",1,0,0,
350101,"Chains of Damnation",1,0,0,
350922,"Menacing Shout",1,0,0,
351119,"Shuriken Blitz",1,0,0,
355057,"Cry of Mrrggllrrgg",1,0,0,
355139,"Invigorate",1,0,0,
355934,"Hard Light Barrier",1,0,0,
356407,"Ancient Dread",1,0,0,
357170,"Time Dilation",0,1,1,
357260,"Unstable Rift",1,0,0,
357404,"Dischordant Song",1,0,0,
358131,"Lightning Nova",1,0,0,
359844,"Call of the Wild",1,0,0,
360194,"Deathmark",1,0,0,
360952,"Coordinated Assault",1,0,0,
361175,"Midnight",1,0,0,
363916,"Obsidian Scales",1,1,0,
365350,"Arcane Surge",1,0,0,
365362,"Arcane Surge",1,0,0,
367679,"Summon Blasphemy",1,0,0,
375087,"Dragonrage",1,0,0,
377362,"Precognition",1,0,0,
377572,"Coordinated Assault",1,0,0,
378464,"Nullifying Shroud",1,0,0,
383410,"Celestial Alignment",1,0,0,
387278,"Summon Darkglare",1,0,0,
388392,"Monotonous Lecture",1,0,0,
388615,"Restoral",1,0,0,
388862,"Surge",1,0,0,
389539,"Sentinel",1,0,0,
389654,"Master Handler",1,0,0,
389660,"Snake Bite",1,0,0,
389722,"Recklessness",1,0,0,
390414,"Incarnation: Chosen of Elune",1,0,0,
391109,"Dark Ascension",1,0,0,
393860,"[DNT]Liang Test",1,0,0,
395267,"Invoke Niuzao, the Black Ox",1,0,0,
403876,"Divine Protection",1,0,0,
408558,"Phase Shift",1,0,0,
414658,"Ice Cold",1,1,0,
414944,"Battle Roar",1,0,0,
423051,"Burning Light",1,0,0,
424419,"Battle Cry",1,0,0,
424773,"Sporogenesis",1,0,0,
427356,"Greater Heal",1,0,0,
432967,"Alarm Shrill",1,0,0,
433841,"Venom Volley",1,0,0,
434802,"Horrifying Shrill",1,0,0,
442210,"Silken Restraints",1,0,0,
443069,"Well of Flame",1,0,0,
444743,"Fireball Volley",1,0,0,
446657,"Burning Light",1,0,0,
448248,"Revolting Volley",1,0,0,
449734,"Acidic Eruption",1,0,0,
451026,"Darkness Comes",1,0,0,
452099,"Congealed Darkness",1,0,0,
454351,"Avenging Wrath",1,0,0,
454373,"Avenging Wrath",1,0,0,
461796,"Reload",1,0,0,
462508,"Dark Prayer",1,0,0,
468966,"Polymorph",1,0,0,
472736,"Debilitating Shriek",1,0,0,
473663,"Pulsing Shriek",1,0,0,
473794,"Poison Blades",1,0,0,
